ar_M,ar_TyG,true_effect,n_converged,prop_opposite
0.2,0.2,0.1,200,0.88
0.4,0.2,0.1,200,0.86
0.6,0.2,0.1,200,0.89
0.8,0.2,0.1,200,0.92
0.2,0.4,0.1,200,0.91
0.4,0.4,0.1,200,0.915
0.6,0.4,0.1,200,0.915
0.8,0.4,0.1,200,0.92
0.2,0.6,0.1,200,0.94
0.4,0.6,0.1,200,0.92
0.6,0.6,0.1,200,0.915
0.8,0.6,0.1,200,0.95
0.2,0.8,0.1,200,0.935
0.4,0.8,0.1,200,0.98
0.6,0.8,0.1,200,0.92
0.8,0.8,0.1,200,0.83
0.2,0.2,0.3,200,1
0.4,0.2,0.3,200,1
0.6,0.2,0.3,200,1
0.8,0.2,0.3,200,1
0.2,0.4,0.3,200,1
0.4,0.4,0.3,200,1
0.6,0.4,0.3,200,1
0.8,0.4,0.3,200,1
0.2,0.6,0.3,200,1
0.4,0.6,0.3,200,1
0.6,0.6,0.3,200,1
0.8,0.6,0.3,200,1
0.2,0.8,0.3,200,1
0.4,0.8,0.3,200,1
0.6,0.8,0.3,200,1
0.8,0.8,0.3,200,0.97
0.2,0.2,0.5,200,1
0.4,0.2,0.5,200,1
0.6,0.2,0.5,200,1
0.8,0.2,0.5,200,1
0.2,0.4,0.5,200,1
0.4,0.4,0.5,200,1
0.6,0.4,0.5,200,1
0.8,0.4,0.5,200,1
0.2,0.6,0.5,200,1
0.4,0.6,0.5,200,1
0.6,0.6,0.5,200,1
0.8,0.6,0.5,200,1
0.2,0.8,0.5,200,1
0.4,0.8,0.5,200,1
0.6,0.8,0.5,200,1
0.8,0.8,0.5,200,0.92
